2022-12-09  00:18:07, LabDoor,,,out,
2022-12-09  00:18:10, LabDoor,,,pbout,prob part of prior event
2022-12-09  00:18:53, LabDoor,,,pbout,
2022-12-09  00:18:55, LabDoor,,,in,prob part of prior event
2022-12-09  00:20:04, LabDoor,,,out,
2022-12-09  00:20:07, LabDoor,,,pbout,prob part of prior event
2022-12-09  00:20:43, LabDoor,,,pbout,
2022-12-09  00:20:45, LabDoor,,,in,prob part of prior event
2022-12-09  00:20:57, LabDoor,,,out,
2022-12-09  00:21:01, LabDoor,,,pbout,prob part of prior event
2022-12-09  00:21:40, LabDoor,,,in,long in with me carrying ladder
2022-12-09  00:32:09, LabDoor,,,pbin,
2022-12-09  00:33:04, LabDoor,,,pbin,
2022-12-09  00:33:09, LabDoor,,,linger,me taking scope off of waldo and adjusting under the doorway
2022-12-09  00:33:39, LabDoor,,,pbin,
2022-12-09  00:33:40, LabDoor,,,pbin/linger,still adjusting sensor
2022-12-09  00:34:10, LabDoor,,,no_event,
2022-12-09  00:34:46, LabDoor,,,no_event,
2022-12-09  00:34:47, LabDoor,,,pbin/linger,me removing tape off of the floor
2022-12-09  00:34:57, LabDoor,,,pbin/linger,me removing tape off of the floor
2022-12-09  00:34:58, LabDoor,,,pbin/linger,me removing tape off of the floor
2022-12-09  00:35:06, LabDoor,,,pbin/linger,me removing tape off of the floor
2022-12-09  00:35:10, LabDoor,,,pbin/linger,me removing tape off of the floor
2022-12-09  00:35:11, LabDoor,,,pbin/linger,me removing tape off of the floor
2022-12-09  00:35:13, LabDoor,,,pbin/linger,me removing tape off of the floor
2022-12-09  00:35:20, LabDoor,,,pbin/linger,me removing tape off of the floor farther away from the door
2022-12-09  00:35:23, LabDoor,,,pbin/linger,me removing tape off of the floor farther away from the door
2022-12-09  00:35:24, LabDoor,,,pbin/linger,me removing tape off of the floor farther away from the door
2022-12-09  00:35:25, LabDoor,,,pbin/linger,me removing tape off of the floor farther away from the door
2022-12-09  00:35:27, LabDoor,,,pbin/linger,me removing tape off of the floor farther away from the door
2022-12-09  00:35:28, LabDoor,,,pbin/linger,me removing tape off of the floor farther away from the door
2022-12-09  00:35:29, LabDoor,,,pbin/linger,me removing tape off of the floor farther away from the door
2022-12-09  00:35:31, LabDoor,,,pbin/linger,me removing tape off of the floor farther away from the door
2022-12-09  00:35:37, LabDoor,,,pbin/linger,me removing tape off of the floor farther away from the door
2022-12-09  00:35:38, LabDoor,,,pbin/linger,me removing tape off of the floor farther away from the door
2022-12-09  00:35:50, LabDoor,,,pbin/linger,me removing tape off of the floor farther away from the door
2022-12-09  00:35:51, LabDoor,,,pbin/linger,me removing tape off of the floor farther away from the door
2022-12-09  00:35:52, LabDoor,,,pbin/linger,me removing tape off of the floor farther away from the door
2022-12-09  00:35:53, LabDoor,,,pbin/linger,me removing tape off of the floor farther away from the door
2022-12-09  00:35:55, LabDoor,,,pbin/linger,me removing tape off of the floor farther away from the door
2022-12-09  00:35:56, LabDoor,,,pbin/linger,me removing tape off of the floor farther away from the door
2022-12-09  00:35:58, LabDoor,,,pbin/linger,me removing tape off of the floor farther away from the door
2022-12-09  00:35:59, LabDoor,,,pbin/linger,me removing tape off of the floor farther away from the door
2022-12-09  00:37:39, LabDoor,,,out,
2022-12-09  00:38:20, LabDoor,,,pbout,prob part of prior event
2022-12-09  00:39:50, LabDoor,,,pbout,
2022-12-09  00:39:56, LabDoor,,,no_event,just me turning lights off in conference room beside the lab
