20230116, LabHW, 09:41:15,1,1,out,
20230116, LabHW, 09:48:06,1,1,in,
20230116, LabHW, 11:37:46,1,1,out,
20230116, LabHW, 11:42:55,1,1,in,
20230116, LabHW, 12:16:01,1,1,out,
20230116, LabHW, 12:18:04,1,1,in,
20230116, LabHW, 12:34:53,1,1,out,
20230116, LabHW, 12:36:35,1,1,in,
20230116, LabHW, 12:53:39,1,1,out,
20230116, LabHW, 12:55:16,1,1,in,
20230116, LabHW, 13:11:15,1,1,out,
20230116, LabHW, 13:19:44,1,1,in,
20230116, LabHW, 14:00:41,1,1,out,
20230116, LabHW, 14:05:21,1,1,in,
20230116, LabHW, 14:28:45,1,1,out,
20230116, LabHW, 14:33:30,1,1,in,
20230116, LabHW, 14:38:32,1,4,pbin/no_event,someone going into our lab
20230116, LabHW, 14:43:28,1,1,out,
20230116, LabHW, 14:44:12,1,1,in,
20230116, LabHW, 14:44:31,1,1,out,
20230116, LabHW, 14:52:12,1,1,in,
20230116, LabHW, 15:13:03,1,1,out,
20230116, LabHW, 15:15:43,1,1,in,
20230116, LabHW, 15:39:47,1,4,pbin/no_event,exiting our lab
20230116, LabHW, 16:21:04,1,3,pbin/linger,person stops and lingers on the pbin side
20230116, LabHW, 16:21:56,,,linger/in,guys lingering finally leaves
20230116, LabHW, 16:22:17,,,linger,more linger then exit
20230116, LabHW, 21:20:48,1,1,out,
