20221229, Hallway2, 05:47:25,in,janitor sweeping (might pick up normal?)
20221229, Hallway2, 05:48:19,out,janitor sweeping and then deciding to clear out the trashcan about 25 seconds (might pick up the out and then a couple of pbs but a maybe)
20221229, Hallway2, 06:17:10,in/linger,janitor pushes cart under camera and lingers to change the trashcan for 34 seconds(toss)
20221229, Hallway2, 06:17:44,linger,part of last linger
20221229, Hallway2, 06:17:45,linger,part of last linger
20221229, Hallway2, 06:17:46,linger,part of last linger
20221229, Hallway2, 06:17:49,linger,part of last linger
20221229, Hallway2, 06:17:56,linger,"part of last linger, cleaning trash can"
20221229, Hallway2, 06:18:05,linger,"part of last linger, cleaning trash can"
20221229, Hallway2, 06:18:07,linger,"part of last linger, cleaning trash can"
20221229, Hallway2, 06:18:14,linger,"part of last linger, cleaning trash can"
20221229, Hallway2, 06:18:15,linger,"part of last linger, cleaning trash can"
20221229, Hallway2, 06:18:25,linger,"part of last linger, cleaning trash can"
20221229, Hallway2, 06:18:26,out/pbout,janitor finishing last linger and removing the cart from under the camera to exit
20221229, Hallway2, 07:56:23,in,janitor passing under camera with cart (otherwise normal in)
20221229, Hallway2, 07:57:40,out,janitor passing under camera with cart (otherwise normal out)
